time, k
0.00076, 0
0.00016, 160
0.00029, 320
0.00026, 480
0.00051, 640
0.00051, 800
0.00053, 960
0.00048, 1120
0.0005, 1280
0.00048, 1440
0.00051, 1600
0.00049, 1760
0.00052, 1920
