time, k
0.00076, 0
0.0001, 80
0.00015, 160
0.00016, 240
0.00027, 320
0.00027, 400
0.00026, 480
0.00048, 560
0.0005, 640
0.00054, 720
0.00049, 800
0.00052, 880
0.00048, 960
0.00049, 1040
0.0005, 1120
0.00051, 1200
0.00048, 1280
0.00055, 1360
0.00051, 1440
