time, k
0.00079, 0
0.00017, 20
0.0001, 40
0.0001, 60
0.00011, 80
0.00013, 100
0.00011, 120
0.00016, 140
0.00014, 160
0.00014, 180
0.00017, 200
0.00013, 220
0.00016, 240
0.00027, 260
0.0003, 280
0.00027, 300
0.00025, 320
0.00028, 340
0.00028, 360
0.00026, 380
0.00031, 400
0.00026, 420
0.00026, 440
0.0003, 460
0.00028, 480
